"treatmentgroup","replicate","dish","color","treatment","level","type","headPRE","gasterPRE","selfGPRE","groomInPRE","groomOutPRE","head","gaster","selfG","groomIn","groomOut","HD","SD","PD","RD","GD"
"19","HL","4","HL.4","yellow","N","M","N",0.0184268526213,0.0147053510135,0.0105864074864,0.0222567474799,0.141308667847,0.0238651317739,0.00761123427664,0.029010420989,0.0234976111157,0.317597126226,0.0054382791526,0.0184240135026,0.176288458379,0.0012408636358,-0.00709411673686
"20","HL","4","HL.4","orange","N","M","N",0.0526068576797,0.0161144632728,0.00473317194783,0.124507713986,0.358709397695,0.0457029721751,0,0.00330768592396,0.00973336969022,0.61388990978,-0.0069038855046,-0.00142548602387,0.255180512085,-0.11477434429578,-0.0161144632728
"21","HL","4","HL.4","red","N","M","N",0,0,0.0119593886621,0.0284351627705,0.0323011887126,0.0214940307532,0.000960295913407,0.0676119456069,0.0511802155331,0.18673606089,0.0214940307532,0.0556525569448,0.1544348721774,0.0227450527626,0.000960295913407
"22","HL","4","HL.4","purple","R","H","H",0.00209560284713,0,0.00466090978068,0.566824439065,0.026122773422,0.0271372511826,0.00597517457231,0.0193126178141,0.323548589788,0.00215770192889,0.02504164833547,0.01465170803342,-0.02396507149311,-0.243275849277,0.00597517457231
"23","HL","4","HL.4","blue","G","L","L",0.00498608953283,0.00635907070853,0,0.248654117137,0.274415579723,0,0,0,1.07427473948,0,-0.00498608953283,0,-0.274415579723,0.825620622343,-0.00635907070853
"24","HL","4","HL.4","green","N","M","N",0.0230516313184,0.00513061386711,0.0229793691513,0.0827763124616,0.240596885501,0.0334088133825,0.00335510794437,0.0552703647939,0.0265089094121,0.38836263619,0.0103571820641,0.0322909956426,0.147765750689,-0.0562674030495,-0.00177550592274
"25","HL","5","HL.5","yellow","R","L","L",0.0105653318553,0.00623527781627,0,0.245704586393,0.0320770403215,0.000974855852107,0,0.00129584497414,0.834631159722,0.000225881234025,-0.009590476003193,0.00129584497414,-0.031851159087475,0.588926573329,-0.00623527781627
"26","HL","5","HL.5","orange","N","M","N",0.0638769571844,0.0223430788416,0.0226202023001,0.624913398919,0.0783220174588,0.0578731498544,0.00536170718659,0.0170362004399,0.0240266302086,0.433644415384,-0.00600380732999999,-0.0055840018602,0.3553223979252,-0.6008867687104,-0.01698137165501
"27","HL","5","HL.5","red","N","M","N",0.0248371899681,0,0.0174587778855,0.0175280587502,0.117916031592,0.0412887118825,0,0.0279736075611,0.0250252630328,0.121547880877,0.0164515219144,0.0105148296756,0.003631849285,0.0074972042826,0
"28","HL","5","HL.5","purple","G","H","H",0.0449979215741,0,0.0272966606623,0.115906886518,0.346404323126,0.0402900790584,0.0141710753136,0.0347857100398,0.414052190454,0.213469654639,-0.0047078425157,0.0074890493775,-0.132934668487,0.298145303936,0.0141710753136
