treatment,replicate,window,load_ratio,duration,load_diff,target
HH,10,140,0.761326361189219,897,29919.090239,highest
HH,10,158,0.851756513779492,398,32307.547099,highest
HH,10,0,0.734757628266789,21,161256.32502,highest
HH,10,0,0.734757628266789,993,161256.32502,highest
HH,10,2,0.729298437049264,1834,154329.972483,highest
HH,10,7,0.73041713186978,440,145308.615341,highest
HH,10,9,0.270356382754339,18,140580.47976,lowest
HH,10,9,0.270356382754339,376,140580.47976,lowest
HH,10,10,0.268924111202004,1083,138762.328716,lowest
HH,10,14,0.270172947180373,529,128728.484828,lowest
HH,10,15,0.735151728662159,568,129648.507656,highest
HH,10,17,0.737643272466024,1034,127027.489467,highest
HH,10,20,0.262955915939155,690,120617.806687,lowest
HH,10,22,0.262460355481404,1198,117408.043141,lowest
HH,10,24,0.260540762225906,969,113750.924921,lowest
HH,10,27,0.746280566659439,331,112861.363096,highest
HH,10,28,0.255370828156864,17,110998.931852,lowest
HH,10,29,0.744401246453435,583,109577.212585,highest
HH,10,30,0.740661024813738,1156,106158.243268,highest
HH,10,36,0.268764124522944,1260,94423.593294,lowest
HH,10,39,0.254956973913817,386,96644.18326,lowest
HH,10,41,0.246579330150038,665,96867.661202,lowest
HH,10,42,0.245622694256771,688,95534.202166,lowest
HH,10,45,0.760800939332944,1316,95480.646235,highest
HH,10,49,0.759274885982855,607,87360.152777,highest
HH,10,50,0.756000828286841,494,84582.014684,highest
HH,10,52,0.748649275218087,367,79337.115221,highest
HH,10,53,0.25426713698551,1387,77176.188752,lowest
HH,10,57,0.244151071636852,559,75026.643624,lowest
HH,10,59,0.236467522717668,1008,73974.053855,lowest
HH,10,61,0.224691555136164,37,73848.928773,lowest
HH,10,68,0.768225241056688,151,67942.764076,highest
HH,10,80,0.763269662662408,1543,63024.313317,highest
HH,10,83,0.754465800095689,505,58510.31733,highest
HH,10,121,0.77136824560152,35,38530.833238,highest
HH,10,128,0.761741004441674,88,35144.256026,highest
HH,10,129,0.760008811086322,845,34539.599178,highest
HH,10,137,0.25388027270313,1064,29185.875967,lowest
HH,10,141,0.233024265646617,1458,30073.263366,lowest
HH,10,0,0.734757628266789,1112,161256.32502,highest
HH,10,3,0.728311179924144,600,151764.364778,highest
