treatmentgroup,replicate,period,color,treatment,level,headRFP,headGFP,bodyRFP,bodyGFP,gaster,other,antenna,head,selfG,groomIn,groomOut,totGroomIn,totGroomOut,groomToR,groomToG,groomToT,rankGroomInGeneral,rankGroomInParticular,rankGroomOutGeneral,rankGroomOutParticular,
LTx,4,PRE,orange,N,X,0,0,0,0,0.0122936546632,0.0,0.00330849063175,0.0727519676813,0.00431845092986,0.0579856515985,0.604652782615,0.0623041025284,0.608971233545,0.0,0.106637876994,0.0707668733022,6.0,4.0,1.0,1.0,
LTx,4,PRE,red,N,X,0,1875,0,0,0.00306470711151,0.0,0.0014627011214,0.0267813610086,0.00407466740963,0.129901790068,0.0,0.133976457477,0.00407466740963,0.0,0.0,0.0,4.0,3.0,6.0,4.0,
LTx,4,PRE,purple,N,X,0,1750,0,0,0.00605976178867,0.0,0.000835829212231,0.0434282928188,0.00125374381835,0.238942676047,0.0451696036776,0.240196419865,0.046423347496,0.0,0.0167514104618,0.000522393257644,3.0,2.0,4.0,2.0,
LTx,4,PRE,blue,T,X,0,0,0,0,0.0174131085881,0.0,0.00379605767222,0.0835829212231,0.0377864456363,0.0877968935014,0.424740544682,0.125583339138,0.462526990318,0.0,0.162568781779,0.0377864456363,5.0,2.0,2.0,1.0,
LTx,4,PRE,green,N,X,0,900,0,0,0.0047015393188,0.0,0.00104478651529,0.00929859998607,0.00104478651529,0.353207494602,0.00703489586961,0.354252281117,0.0080796823849,0.0,0.0,0.00167165842446,1.0,1.0,5.0,3.0,
LTx,4,POST,yellow,G,L,0,7875,0,7300,0.0220149069549,0.0,0.000863813613703,0.0808529542426,0.0247791105188,0.26060022706,0.103423169949,0.285379337578,0.128202280468,0.0,0.0247791105188,0.0490646132583,2.0,2.0,3.0,1.0,
LTx,4,POST,orange,N,X,0,0,0,0,0.00322079075966,0.0,0.0090577027494,0.0490892936473,0.0155116244632,0.0320104644849,0.532676834987,0.0475220889481,0.54818845945,0.0,0.160521249815,0.364911891011,4.0,2.0,1.0,1.0,
LTx,4,POST,red,N,X,0,1875,0,0,0.0,0.0,0.00273952317489,0.0162396959376,0.00127104003159,0.00783602349573,0.0,0.00910706352732,0.00127104003159,0.0,0.0,0.0,6.0,4.0,6.0,4.0,
LTx,4,POST,purple,N,X,0,1750,0,0,0.00127104003159,0.0,0.00136976158744,0.0460042450269,0.00655264326966,0.0208549286737,0.214904486895,0.0274075719433,0.221457130164,0.0,0.0813465620218,0.0945382299225,5.0,3.0,2.0,2.0,
LTx,4,POST,blue,T,X,0,0,0,0,0.0194111259193,0.000345525445481,0.00171528703292,0.0328495977097,0.027605015055,0.524347203712,0.011969988647,0.551952218767,0.0395750037021,0.0,0.000493607779259,0.027605015055,1.0,1.0,5.0,2.0,
LTx,4,POST,green,N,X,0,900,0,0,0.0,0.0,0.000456587195814,0.00178932819981,8.63813613703e-05,0.0544819586357,0.0371563255837,0.054568339997,0.0372427069451,0.0,0.0182388074436,0.0158324695197,3.0,1.0,4.0,3.0,
LTx,5,PRE,yellow,N,X,2400,0,0,0,0.0058114374034,0.0,0.00528593508501,0.0436785162287,0.00225656877898,0.102071097372,0.0883462132921,0.104327666151,0.0906027820711,0.0,0.0,0.0123338485317,1.0,1.0,2.0,1.0,
LTx,5,PRE,orange,N,X,1275,0,0,0,0.0,0.0,0.000340030911901,0.0201545595054,0.000896445131376,0.0323338485317,0.0,0.0332302936631,0.000896445131376,0.0,0.0,0.0,4.0,4.0,6.0,4.0,
LTx,5,PRE,red,N,X,0,0,0,0,0.00516228748068,0.0,0.00247295208655,0.0861205564142,0.00766615146832,0.0735085007728,0.00278207109737,0.0811746522411,0.0104482225657,0.0,0.0,0.0,3.0,3.0,4.0,3.0,
LTx,5,PRE,purple,T,X,0,0,0,0,0.00414219474498,0.0,0.00472952086553,0.0523029366306,0.00908809891808,0.0222256568779,0.149644513138,0.031313755796,0.158732612056,0.000494590417311,0.0,0.00908809891808,5.0,1.0,1.0,1.0,
LTx,5,PRE,blue,R,L,1625,0,50250,0,0.0,0.0,0.0151468315301,0.140958268934,0.00825347758887,0.000494590417311,0.00179289026275,0.00874806800618,0.0100463678516,0.00825347758887,0.0,0.0,6.0,2.0,5.0,2.0,
LTx,5,PRE,green,N,X,7925,0,0,0,0.0111591962906,0.0,0.00692426584235,0.113199381762,0.0102627511592,0.0844204018547,0.0724884080371,0.0946831530139,0.0827511591963,0.0,0.0,0.00989180834621,2.0,2.0,3.0,2.0,
LTx,5,POST,yellow,N,X,2400,0,0,0,0.00228918873089,0.0,0.0018047043434,0.0231946900511,0.0039000993193,0.0174777742787,0.124573048134,0.021377873598,0.128473147453,0.0144012984182,0.0,0.108197475836,3.0,1.0,2.0,2.0,
LTx,5,POST,orange,N,X,1275,0,0,0,0.00178048012403,0.0,0.000460260168116,0.0193914876093,0.00621351226957,0.0119546522613,0.0487391293816,0.0181681645309,0.0549526416511,0.00512342239771,0.0,0.0324604539619,4.0,2.0,3.0,3.0,
LTx,5,POST,red,N,X,0,0,0,0,0.00216806763402,0.00013323320656,0.00146556527216,0.0417141057629,0.00678278142487,0.0043724715971,0.0473220125481,0.011155253022,0.054104793973,0.0,0.0,0.0254354303433,6.0,4.0,4.0,4.0,
LTx,5,POST,purple,T,X,0,0,0,0,0.00511131028803,0.0,0.000908408226545,0.0374748673724,0.000423923839054,0.572466752259,0.0,0.572890676098,0.000423923839054,0.0,0.0,0.000423923839054,1.0,1.0,6.0,2.0,
LTx,5,POST,blue,R,L,1625,0,50250,0,0.00952011821419,0.0,0.0207117075652,0.12818245682,0.0327148082653,0.0409510428526,0.00268888835057,0.0736658511179,0.0354036966159,0.0327148082653,0.0,0.00268888835057,2.0,2.0,5.0,1.0,
LTx,5,POST,green,N,X,7925,0,0,0,0.00139289261404,0.0,0.00205905864684,0.0552069959546,0.006274072818,0.00826045880671,0.432160073642,0.0145345316247,0.43843414646,0.0214263220368,0.0,0.403684503767,5.0,3.0,1.0,1.0,
LTx,7,PRE,yellow,N,X,0,0,0,0,0.0,0.0,0.0287855315776,0.0228410851317,0.00983535684692,0.0,0.0,0.00983535684692,0.00983535684692,0.0,0.0,0.0,6.0,4.0,6.0,4.0,
