"treat","rep","color","strain","dose","spores"
"HTx",5,"purple","N","X",0
"HTx",5,"blue","N","X",0
"HTx",5,"green","T","X",0
"HTx",6,"yellow","N","X",0
"HTx",6,"orange","R","H",122710.201296
"HTx",6,"red","N","X",0
"HTx",6,"purple","N","X",0
"HTx",6,"blue","N","X",0
"HTx",6,"green","T","X",0
"HTx",7,"yellow","R","H",149672.771968
"HTx",7,"orange","N","X",0
"HTx",7,"red","N","X",0
"HTx",7,"purple","T","X",0
"HTx",7,"blue","N","X",0
"HTx",7,"green","N","X",0
"HTx",8,"yellow","N","X",0
"HTx",8,"orange","G","H",150934.283243
"HTx",8,"red","T","X",0
"HTx",8,"purple","N","X",0
"HTx",8,"blue","N","X",0
"HTx",8,"green","N","X",0
"HTx",9,"yellow","N","X",0
"HTx",9,"orange","T","X",0
"HTx",9,"red","N","X",0
"HTx",9,"purple","G","H",249571.402365
"HTx",9,"blue","N","X",0
"HTx",9,"green","N","X",0
"HTx",10,"yellow","G","H",35103.370782
"HTx",10,"orange","N","X",0
"HTx",10,"red","N","X",0
"HTx",10,"purple","N","X",0
"HTx",10,"blue","N","X",0
"HTx",10,"green","T","X",0
"HTx",12,"yellow","N","X",0
"HTx",12,"orange","N","X",0
"HTx",12,"red","R","H",135933.741788
"HTx",12,"purple","T","X",0
"HTx",12,"blue","N","X",0
"HTx",12,"green","N","X",0
"HTx",13,"yellow","G","H",292794.143505
"HTx",13,"orange","N","X",0
"HTx",13,"red","T","X",0
"HTx",13,"purple","N","X",0
"HTx",13,"blue","N","X",0
"HTx",13,"green","N","X",0
"HTx",14,"yellow","G","H",180052.769731
"HTx",14,"orange","N","X",0
"HTx",14,"red","N","X",0
"HTx",14,"purple","T","X",0
"HTx",14,"blue","N","X",0
"HTx",14,"green","N","X",0
"HTx",15,"yellow","G","H",224763.500827
"HTx",15,"orange","N","X",0
"HTx",15,"red","T","X",0
"HTx",15,"purple","N","X",0
"HTx",15,"blue","N","X",0
"HTx",15,"green","N","X",0
"HTx",16,"yellow","N","X",0
"HTx",16,"orange","N","X",0
"HTx",16,"red","N","X",0
"HTx",16,"purple","N","X",0
"HTx",16,"blue","T","X",0
"HTx",16,"green","R","H",414754.101583
"HTx",17,"yellow","N","X",0
"HTx",17,"orange","N","X",0
"HTx",17,"red","N","X",0
"HTx",17,"purple","R","H",211110.187684
"HTx",17,"blue","N","X",0
"HTx",17,"green","T","X",0
"TxTx",1,"yellow","T","X",0
"TxTx",1,"orange","N","X",0
"TxTx",1,"red","N","X",0
"TxTx",1,"purple","T","X",0
"TxTx",1,"blue","N","X",0
"TxTx",1,"green","N","X",0
"TxTx",2,"yellow","T","X",0
"TxTx",2,"orange","N","X",0
"TxTx",2,"red","N","X",0
"TxTx",2,"purple","T","X",0
"TxTx",2,"blue","N","X",0
"TxTx",2,"green","N","X",0
"TxTx",3,"yellow","N","X",0
"TxTx",3,"orange","T","X",0
"TxTx",3,"red","N","X",0
"TxTx",3,"purple","N","X",0
"TxTx",3,"blue","T","X",0
"TxTx",3,"green","N","X",0
"TxTx",4,"yellow","N","X",0
"TxTx",4,"orange","N","X",0
"TxTx",4,"red","N","X",0
"TxTx",4,"purple","T","X",0
"TxTx",4,"blue","N","X",0
"TxTx",4,"green","T","X",0
