Replicate,Dish,Colour,part,ch1,ch2
5,III,blue,body,4050,0
5,III,green,head,0,5100
5,III,green,body,0,18250
5,III,orange,head,2425,1150
5,III,orange,body,0,0
5,III,purple,head,3150,6025
5,III,purple,body,0,0
5,III,red,head,225,350
5,III,red,body,0,0
5,III,yellow,head,10500,1600
5,III,yellow,body,0,0
5,IV,blue,head,12300,0
5,IV,blue,body,0,0
5,IV,green,head,250,0
5,IV,green,body,0,0
5,IV,orange,head,2700,0
5,IV,orange,body,0,0
5,IV,purple,head,825,0
5,IV,purple,body,250,0
5,IV,red,head,17500,0
5,IV,red,body,11350,0
5,IV,yellow,head,2700,0
5,IV,yellow,body,0,0
5,V,blue,head,0,0
5,V,blue,body,0,0
5,V,green,head,0,0
5,V,green,body,0,0
5,V,orange,head,0,0
5,V,orange,body,0,0
5,V,purple,head,0,0
5,V,purple,body,0,0
5,V,red,head,0,0
5,V,red,body,0,0
5,V,yellow,head,0,0
5,V,yellow,body,0,0
5,VI,blue,head,1625,0
5,VI,blue,body,50250,0
5,VI,green,head,7925,0
5,VI,green,body,0,0
5,VI,orange,head,1275,0
5,VI,orange,body,0,0
5,VI,purple,head,0,0
5,VI,purple,body,0,0
5,VI,red,head,0,0
5,VI,red,body,0,0
5,VI,yellow,head,2400,0
5,VI,yellow,body,0,0
6,I,blue,head,0,0
6,I,blue,body,0,0
6,I,green,head,0,0
6,I,green,body,0,0
6,I,orange,head,0,0
6,I,orange,body,0,0
6,I,purple,head,0,0
6,I,purple,body,0,0
6,I,red,head,0,0
6,I,red,body,0,0
6,I,yellow,head,0,0
6,I,yellow,body,0,0
6,II,blue,head,1950,750
6,II,blue,body,0,0
6,II,green,head,625,0
6,II,green,body,12375,0
6,II,orange,head,8350,4725
6,II,orange,body,0,0
6,II,purple,head,0,16225
6,II,purple,body,0,37875
6,II,red,head,0,0
6,II,red,body,0,0
6,II,yellow,head,0,0
6,II,yellow,body,0,0
6,III,blue,head,14100,675
6,III,blue,body,18175,0
6,III,green,head,1475,2350
6,III,green,body,0,0
6,III,orange,head,1575,4450
6,III,orange,body,0,0
6,III,purple,head,2475,325
6,III,purple,body,0,0
6,III,red,head,0,375
6,III,red,body,0,0
6,III,yellow,head,0,14350
6,III,yellow,body,0,41250
6,V,blue,head,1525,0
6,V,blue,body,0,0
6,V,green,head,0,0
6,V,green,body,0,0
6,V,orange,head,7300,0
6,V,orange,body,45500,0
6,V,purple,head,6500,0
6,V,purple,body,0,0
6,V,red,head,12350,0
6,V,red,body,0,0
6,V,yellow,head,20900,0
6,V,yellow,body,0,0
7,I,blue,head,0,0
7,I,blue,body,0,0
7,I,green,head,5050,0
7,I,green,body,0,0
7,I,orange,head,14000,0
7,I,orange,body,32000,0
7,I,purple,head,0,0
7,I,purple,body,0,0
7,I,red,head,0,0
7,I,red,body,0,0
7,I,yellow,head,0,0
7,I,yellow,body,0,0
7,II,blue,head,0,0
7,II,blue,body,0,0
7,II,green,head,0,0
7,II,green,body,0,0
7,II,orange,head,0,0
7,II,orange,body,0,0
7,II,purple,head,0,0
7,II,purple,body,0,0
7,II,red,head,0,0
7,II,red,body,0,0
7,II,yellow,head,5125,0
7,II,yellow,body,99500,0
7,III,blue,head,0,0
7,III,blue,body,0,0
7,III,green,head,3125,0
7,III,green,body,59000,0
7,III,orange,head,900,1675
7,III,orange,body,0,0
7,III,purple,head,0,0
7,III,purple,body,0,0
7,III,red,head,0,0
7,III,red,body,0,0
7,III,yellow,head,0,3250
7,III,yellow,body,325,63750
7,IV,blue,head,0,3500
7,IV,blue,body,0,20000
7,IV,green,head,500,18000
7,IV,green,body,0,0
7,IV,orange,head,0,0
7,IV,orange,body,0,0
7,IV,purple,head,7750,0
7,IV,purple,body,13250,0
7,IV,red,head,925,0
7,IV,red,body,175,0
7,IV,yellow,head,0,0
7,IV,yellow,body,0,0
7,V,blue,head,0,0
7,V,blue,body,0,0
7,V,green,head,0,0
7,V,green,body,0,0
7,V,orange,head,0,0
7,V,orange,body,0,0
7,V,purple,head,0,0
7,V,purple,body,0,0
7,V,red,head,0,0
7,V,red,body,0,0
7,V,yellow,head,0,0
7,V,yellow,body,0,0
7,VI,blue,head,0,16250
7,VI,blue,body,175,28750
7,VI,green,head,2425,375
7,VI,green,body,18750,0
7,VI,orange,head,4250,5050
7,VI,orange,body,0,0
7,VI,purple,head,3650,1875
7,VI,purple,body,0,0
7,VI,red,head,6000,21500
7,VI,red,body,0,225
7,VI,yellow,head,1075,475
7,VI,yellow,body,400,850
8,I,blue,head,0,0
8,I,blue,body,0,0
8,I,green,head,0,0
8,I,green,body,0,0
8,I,orange,head,0,0
8,I,orange,body,0,0
8,I,purple,head,0,0
